Name,Manufacturer ,Type,Calories,Cups
100% Bran,Nabisco,C,70,0.33
100% Natural Bran,Quaker Oats,C,120,1
All-Bran,Kelloggs,C,70,0.33
All-Bran with Extra Fiber,Kelloggs,C,50,0.5
Almond Delight,Ralston Purina,C,110,0.75
Apple Cinnamon Cheerios,General Mills,C,110,0.75
Apple Jacks,Kelloggs,C,110,1
Basic 4,General Mills,C,130,0.75
Bran Chex,Ralston Purina,C,90,0.67
Bran Flakes,Post,C,90,0.67
Cap'n'Crunch,Quaker Oats,C,120,0.75
Cheerios,General Mills,C,110,1.25
Cinnamon Toast Crunch,General Mills,C,120,0.75
Clusters,General Mills,C,110,0.5
Cocoa Puffs,General Mills,C,110,1
Corn Chex,Ralston Purina,C,110,1
Corn Flakes,Kelloggs,C,100,1
Corn Pops,Kelloggs,C,110,1
Count Chocula,General Mills,C,110,1
Cracklin' Oat Bran,Kelloggs,C,110,0.5
Cream of Wheat (Quick),Nabisco,H,100,1
Crispix,Kelloggs,C,110,1
Crispy Wheat & Raisins,General Mills,C,100,0.75
Double Chex,Ralston Purina,C,100,0.75
Froot Loops,Kelloggs,C,110,1
Frosted Flakes,Kelloggs,C,110,0.75
Frosted Mini-Wheats,Kelloggs,C,100,0.8
Fruit & Fibre Dates; Walnuts; and Oats,Post,C,120,0.67
Fruitful Bran,Kelloggs,C,120,0.67
Fruity Pebbles,Post,C,110,0.75
Golden Crisp,Post,C,100,0.88
Golden Grahams,General Mills,C,110,0.75
Grape Nuts Flakes,Post,C,100,0.88
Grape-Nuts,Post,C,110,0.25
Great Grains Pecan,Post,C,120,0.33
Honey Graham Ohs,Quaker Oats,C,120,1
Honey Nut Cheerios,General Mills,C,110,0.75
Honey-comb,Post,C,110,1.33
Just Right Crunchy  Nuggets,Kelloggs,C,110,1
Just Right Fruit & Nut,Kelloggs,C,140,0.75
Kix,General Mills,C,110,1.5
Life,Quaker Oats,C,100,0.67
Lucky Charms,General Mills,C,110,1
Maypo,American Home Food Products,H,100,1
Muesli Raisins; Dates; & Almonds,Ralston Purina,C,150,1
Muesli Raisins; Peaches; & Pecans,Ralston Purina,C,150,1
Mueslix Crispy Blend,Kelloggs,C,160,0.67
Multi-Grain Cheerios,General Mills,C,100,1
Nut&Honey Crunch,Kelloggs,C,120,0.67
Nutri-Grain Almond-Raisin,Kelloggs,C,140,0.67
Nutri-grain Wheat,Kelloggs,C,90,1
Oatmeal Raisin Crisp,General Mills,C,130,0.5
Post Nat. Raisin Bran,Post,C,120,0.67
Product 19,Kelloggs,C,100,1
Puffed Rice,Quaker Oats,C,50,1
Puffed Wheat,Quaker Oats,C,50,1
Quaker Oat Squares,Quaker Oats,C,100,0.5
Quaker Oatmeal,Quaker Oats,H,100,0.67
Raisin Bran,Kelloggs,C,120,0.75
Raisin Nut Bran,General Mills,C,100,0.5
Raisin Squares,Kelloggs,C,90,0.5
Rice Chex,Ralston Purina,C,110,1.13
Rice Krispies,Kelloggs,C,110,1
Shredded Wheat,Nabisco,C,80,1
Shredded Wheat 'n'Bran,Nabisco,C,90,0.67
Shredded Wheat spoon size,Nabisco,C,90,0.67
Smacks,Kelloggs,C,110,0.75
Special K,Kelloggs,C,110,1
Strawberry Fruit Wheats,Nabisco,C,90,1
Total Corn Flakes,General Mills,C,110,1
Total Raisin Bran,General Mills,C,140,1
Total Whole Grain,General Mills,C,100,1
Triples,General Mills,C,110,0.75
Trix,General Mills,C,110,1
Wheat Chex,Ralston Purina,C,100,0.67
Wheaties,General Mills,C,100,1
Wheaties Honey Gold,General Mills,C,110,0.75
